x,Strongly disapprove,disapprove,Neither approve or disapprove,Approve,Strongly Approve
18.0,0.033565501551204184,0.04850053169377561,0.1217307203749054,0.21041437562150805,0.5857888707586068
18.33668341708543,0.033731866040823136,0.04867172278111441,0.12202338420351766,0.21065095568562797,0.5849220712889168
18.673366834170853,0.03389890842091241,0.04884328033328229,0.12231616226206321,0.2108867907415406,0.5840548582422015
19.01005025125628,0.03406663062422653,0.04901520396892069,0.12260905200088046,0.21112187769403434,0.583187235711938
19.34673366834171,0.034235034584648355,0.04918749329997338,0.12290205086258638,0.21135621345520456,0.5823192077975874
19.683417085427134,0.03440412223716456,0.049360147931671525,0.1231951562821072,0.21158979494452002,0.5814507786045366
20.020100502512562,0.03457389551784149,0.04953316746251737,0.12348836568670984,0.21182261908889033,0.580581952244041
20.35678391959799,0.03474435636380082,0.04970655148426865,0.12378167649603272,0.21205468282273338,0.5797127328331644
20.69346733668342,0.03491550671319487,0.04988029958192298,0.12407508612211748,0.21228598308804209,0.5788431244947225
21.030150753768844,0.035087348505182116,0.050054411333701886,0.12436859196944183,0.21251651683445094,0.5779731313572232
21.366834170854272,0.0352598836799024,0.05022888631103573,0.12466219143495022,0.2127462810193037,0.577102757554808
21.7035175879397,0.035433114178451935,0.05040372407854851,0.12495588190808687,0.2129752726077196,0.5762320072271931
22.040201005025125,0.03560704194285845,0.05057892419404193,0.1252496607708291,0.21320348857265958,0.575360884519611
22.376884422110553,0.035781668916056004,0.05075448620848121,0.12554352539771912,0.21343092589499335,0.5744893935827503
22.71356783919598,0.03595699704185977,0.05093040966597924,0.12583747315589794,0.2136575815635655,0.5736175385726976
23.050251256281406,0.036133028264940595,0.05110669410378248,0.12613150140513824,0.2138834525752617,0.572745323650877
23.386934673366834,0.03630976453079968,0.05128333905225537,0.12642560749787873,0.21410853593507478,0.5718727529839914
23.723618090452263,0.0364872077857429,0.0514603440348663,0.1267197887792575,0.21433282865617082,0.5709998307439625
24.060301507537687,0.03666535997685496,0.05163770856817316,0.12701404258714633,0.2145563277599548,0.5701265611078707
24.396984924623116,0.03684422305197387,0.05181543216180801,0.1273083662521855,0.21477903027613665,0.569252948257896
24.733668341708544,0.037023798959664664,0.051993514318464065,0.12760275709781776,0.21500093324279662,0.5683789963812569
25.07035175879397,0.037204089649193584,0.052171954533880405,0.12789721244032431,0.21522203370645054,0.5675047096701511
