x,value
Less than £4999,322
"£5,000- £9,999",275
"£10,000 - £14,999",447
"£15,000 - £19,999",431
"£20,000 - £24,999",385
"£25,000 - £29,999",319
"£30,000 - £34,999",252
"£35,000 - £39,000",196
"£40,000 - £44,999",151
"£45,000 - £49,000",90
"£50,000 - £54,999",83
"£55,000 - £59,999",85
"£60,000 - £64,999",57
"£65,000 - £69,999",38
"£70,000 - £74,999",26
"£75,000 - £79,999",20
"£80,000 - £84,999",8
"£85,000 - £89,999",15
"£90,000 - £94,999",16
"£95,000 - £99,999",9
"More than £100,000",54
