,x
2140,55.0
2141,69.0
2142,74.0
2143,37.0
2144,54.0
2145,65.0
2146,30.0
2147,65.0
2148,49.0
2149,54.0
2150,62.0
2151,71.0
2152,54.0
2153,67.0
2154,35.0
2155,42.0
2156,64.0
2157,69.0
2158,25.0
2159,35.0
2160,47.0
2161,56.0
2162,63.0
2163,47.0
2164,62.0
2165,63.0
2166,24.0
2167,63.0
2168,28.0
2169,61.0
2170,66.0
2171,56.0
2172,55.0
2173,67.0
2174,38.0
2175,53.0
2176,59.0
2177,65.0
2178,56.0
2179,64.0
2180,18.0
2181,18.0
2182,20.0
2183,48.0
2184,52.0
2185,61.0
2186,18.0
2187,55.0
2188,39.0
2189,19.0
2190,20.0
2191,26.0
2192,41.0
2193,70.0
2194,48.0
2195,67.0
2196,52.0
2197,72.0
2198,71.0
2199,50.0
2200,58.0
2201,56.0
2202,53.0
2203,63.0
2204,35.0
2205,65.0
2206,66.0
2207,33.0
2208,72.0
2209,50.0
2210,63.0
2211,68.0
2212,60.0
2213,31.0
2214,74.0
2215,48.0
2216,56.0
2217,58.0
2218,57.0
2219,34.0
2220,18.0
2221,75.0
2222,63.0
2223,30.0
2224,51.0
2225,53.0
2226,64.0
2227,50.0
2228,61.0
2229,41.0
2230,55.0
2231,69.0
2232,24.0
2233,72.0
2234,20.0
2235,57.0
2236,24.0
2237,52.0
2238,53.0
2239,68.0
2240,56.0
2241,61.0
2242,18.0
2243,51.0
2244,18.0
2245,57.0
2246,19.0
2247,54.0
2248,64.0
2249,64.0
2250,53.0
