,x
532,61.0
533,62.0
534,63.0
535,64.0
536,64.0
537,65.0
538,66.0
539,67.0
540,69.0
541,69.0
542,69.0
543,70.0
544,72.0
545,72.0
546,80.0
547,80.0
548,55.0
549,31.0
550,36.0
551,65.0
552,44.0
553,18.0
554,52.0
555,54.0
556,64.0
557,57.0
558,54.0
559,56.0
560,62.0
561,53.0
562,53.0
563,57.0
564,31.0
565,34.0
566,58.0
567,63.0
568,65.0
569,81.0
570,52.0
571,52.0
572,32.0
573,38.0
574,39.0
575,44.0
576,46.0
577,47.0
578,50.0
579,52.0
580,53.0
581,56.0
582,57.0
583,59.0
584,60.0
585,65.0
586,65.0
587,66.0
588,67.0
589,67.0
590,74.0
591,69.0
592,25.0
593,53.0
594,35.0
595,51.0
596,38.0
597,62.0
598,47.0
599,38.0
600,57.0
601,66.0
602,68.0
603,38.0
604,50.0
605,51.0
606,53.0
607,55.0
608,55.0
609,56.0
610,56.0
611,57.0
612,57.0
613,58.0
614,59.0
615,60.0
616,61.0
617,61.0
618,62.0
619,64.0
620,66.0
621,66.0
622,66.0
623,68.0
624,68.0
625,68.0
626,71.0
627,72.0
628,78.0
629,83.0
630,64.0
631,59.0
632,49.0
633,57.0
634,63.0
635,21.0
636,45.0
637,52.0
638,59.0
639,47.0
640,54.0
641,26.0
642,31.0
643,36.0
644,38.0
645,47.0
646,51.0
647,55.0
648,59.0
649,64.0
650,71.0
651,69.0
652,69.0
653,40.0
654,62.0
655,37.0
656,59.0
657,65.0
658,26.0
659,53.0
660,62.0
661,63.0
662,67.0
663,67.0
664,69.0
665,50.0
666,53.0
667,54.0
668,59.0
669,59.0
670,65.0
671,68.0
672,69.0
673,71.0
674,70.0
675,75.0
676,58.0
677,78.0
678,54.0
679,57.0
680,57.0
681,25.0
682,65.0
683,66.0
684,64.0
685,56.0
686,70.0
687,64.0
688,25.0
689,39.0
690,51.0
691,28.0
692,37.0
693,40.0
694,43.0
695,44.0
696,47.0
697,49.0
698,50.0
699,58.0
700,59.0
701,61.0
702,61.0
703,65.0
704,72.0
705,79.0
706,55.0
707,57.0
708,23.0
709,24.0
710,25.0
711,36.0
712,54.0
713,55.0
714,22.0
715,28.0
716,30.0
717,44.0
718,47.0
719,47.0
720,47.0
721,50.0
722,52.0
723,53.0
724,61.0
725,64.0
726,66.0
727,66.0
728,21.0
729,28.0
730,60.0
731,25.0
732,41.0
733,54.0
734,55.0
735,63.0
736,69.0
737,24.0
738,25.0
739,26.0
740,26.0
741,27.0
742,27.0
743,28.0
744,29.0
745,29.0
746,30.0
747,30.0
748,34.0
749,35.0
750,38.0
751,39.0
752,39.0
753,39.0
754,40.0
755,41.0
756,41.0
757,45.0
758,48.0
759,49.0
760,49.0
761,50.0
762,50.0
763,51.0
764,52.0
765,53.0
766,54.0
767,54.0
768,55.0
769,55.0
770,57.0
771,57.0
772,58.0
773,58.0
774,58.0
775,59.0
776,59.0
777,60.0
778,60.0
779,61.0
780,62.0
781,62.0
782,64.0
783,66.0
784,66.0
785,67.0
786,67.0
787,69.0
788,69.0
789,70.0
790,70.0
791,72.0
792,72.0
793,83.0
794,60.0
795,50.0
796,60.0
797,60.0
798,61.0
799,62.0
800,63.0
801,65.0
802,67.0
803,70.0
804,62.0
805,27.0
806,25.0
807,37.0
808,41.0
809,43.0
810,49.0
811,50.0
812,51.0
813,52.0
814,55.0
815,56.0
816,56.0
817,58.0
818,58.0
819,58.0
820,59.0
821,59.0
822,59.0
823,61.0
824,61.0
825,66.0
826,67.0
827,23.0
828,23.0
829,24.0
830,26.0
831,27.0
832,27.0
833,29.0
834,31.0
835,34.0
836,38.0
837,39.0
838,40.0
839,43.0
840,46.0
841,47.0
842,47.0
843,48.0
844,48.0
845,48.0
846,48.0
847,49.0
848,50.0
849,52.0
850,52.0
851,53.0
852,53.0
853,54.0
854,56.0
855,56.0
856,57.0
857,57.0
858,57.0
859,59.0
860,61.0
861,63.0
862,63.0
863,64.0
864,65.0
865,66.0
866,67.0
867,68.0
868,71.0
869,76.0
870,45.0
871,61.0
872,35.0
873,28.0
874,62.0
875,59.0
876,54.0
877,74.0
878,74.0
879,65.0
880,55.0
881,62.0
882,56.0
883,66.0
884,50.0
885,67.0
886,42.0
887,61.0
888,55.0
889,66.0
890,69.0
891,23.0
892,55.0
893,60.0
894,56.0
895,46.0
896,20.0
