x,value
75.0,-0.1
62.0,0.65
56.0,-0.2
66.0,0.95
23.0,-0.8
18.0,-0.95
54.0,0.0
31.0,-0.1
31.0,0.1
45.0,-0.15
47.0,-1.25
50.0,0.15
52.0,0.1
52.0,-1.15
53.0,0.2
56.0,0.25
57.0,-0.15
63.0,0.5
63.0,-0.7
70.0,0.05
71.0,-0.8
24.0,-0.5
26.0,-0.1
35.0,-1.05
35.0,0.3
37.0,0.15
44.0,-0.15
46.0,0.3
47.0,-0.2
51.0,-0.2
51.0,0.05
52.0,-0.8
53.0,-0.1
53.0,-0.05
55.0,-0.3
55.0,-0.9
55.0,0.1
56.0,-0.15
57.0,0.15
57.0,0.05
57.0,-1.15
58.0,0.35
58.0,-0.8
59.0,0.15
59.0,0.0
60.0,0.75
60.0,0.1
61.0,0.4
61.0,0.35
61.0,0.15
64.0,0.0
65.0,-0.65
69.0,-0.65
69.0,-0.3
72.0,-0.05
80.0,-0.4
55.0,-0.1
31.0,-1.05
36.0,-0.05
65.0,0.45
18.0,-0.9
64.0,-1.2
57.0,0.35
54.0,-0.3
56.0,-0.25
62.0,-1.6
53.0,-1.0
53.0,-1.25
31.0,-1.0
58.0,-0.95
63.0,-0.5
81.0,-0.25
52.0,-0.7
52.0,-0.75
32.0,-0.55
39.0,-0.75
44.0,-1.45
50.0,-1.1
53.0,-0.9
57.0,-1.15
60.0,-0.8
65.0,-1.1
65.0,-1.15
69.0,-0.5
25.0,-0.15
53.0,-0.95
35.0,-1.15
51.0,0.6
38.0,0.05
57.0,-0.1
38.0,-1.4
50.0,-0.5
51.0,-1.0
53.0,0.35
55.0,0.15
55.0,0.55
56.0,-0.55
56.0,0.5
57.0,-0.4
57.0,-1.35
60.0,0.25
61.0,-1.15
61.0,-0.35
62.0,-0.9
64.0,-0.75
66.0,-0.3
66.0,-0.15
68.0,-1.15
71.0,-1.4
72.0,1.25
83.0,-0.5
59.0,-1.15
49.0,0.05
57.0,0.15
63.0,0.1
52.0,-0.3
59.0,-0.55
26.0,-0.8
31.0,-0.05
36.0,0.2
38.0,0.0
51.0,0.0
55.0,0.5
59.0,-0.1
64.0,-1.3
69.0,0.5
69.0,0.5
40.0,0.15
62.0,0.65
37.0,0.35
59.0,-1.15
65.0,-0.1
26.0,-1.55
63.0,-1.05
67.0,0.0
67.0,0.3
50.0,-0.1
54.0,0.2
59.0,0.55
65.0,-1.4
69.0,0.45
71.0,0.25
75.0,0.55
58.0,-0.3
78.0,-0.85
54.0,-0.85
57.0,-1.25
57.0,-0.95
65.0,-0.45
64.0,-0.75
56.0,-0.95
64.0,-0.95
25.0,-0.35
39.0,-1.0
28.0,-0.55
37.0,-1.0
43.0,-1.1
44.0,-0.7
47.0,-1.0
49.0,-0.8
50.0,-0.85
59.0,-0.2
61.0,-0.1
61.0,-1.25
65.0,-1.1
72.0,0.1
55.0,-1.15
23.0,-0.25
24.0,-0.7
25.0,-0.75
36.0,-1.35
54.0,-0.75
55.0,-1.0
22.0,-0.3
30.0,-0.85
44.0,-0.5
47.0,-0.8
47.0,-1.15
50.0,-1.2
52.0,-1.0
53.0,-1.7
64.0,-1.2
66.0,-0.7
21.0,-0.1
28.0,-1.15
60.0,-1.05
25.0,0.1
41.0,-1.05
24.0,-1.15
25.0,-0.3
26.0,-0.4
27.0,0.1
27.0,-1.15
28.0,-1.55
29.0,-0.55
29.0,-1.3
30.0,-0.75
30.0,0.85
34.0,-0.85
35.0,-1.35
39.0,-1.1
39.0,-0.5
40.0,-0.85
41.0,-0.95
41.0,-0.85
45.0,-1.8
48.0,-0.75
49.0,-1.15
49.0,-1.25
50.0,-1.3
50.0,-0.9
51.0,-1.4
52.0,0.4
53.0,-1.25
54.0,-1.3
55.0,-1.05
55.0,-0.4
57.0,-1.1
58.0,-0.95
58.0,-0.55
59.0,-0.65
59.0,-1.1
60.0,-0.7
60.0,-1.05
62.0,-1.25
62.0,-0.9
66.0,-1.25
67.0,-1.45
67.0,-0.95
69.0,0.55
69.0,-1.2
70.0,-1.35
70.0,-1.35
83.0,-0.35
60.0,-0.8
50.0,-0.15
60.0,0.15
62.0,-1.35
63.0,-0.8
65.0,-1.45
67.0,-1.5
70.0,-1.1
27.0,-0.5
25.0,-0.6
37.0,-0.95
41.0,0.1
43.0,-1.1
49.0,-1.1
50.0,0.15
51.0,-1.05
52.0,-1.45
55.0,-1.05
56.0,-1.0
58.0,-0.4
58.0,-0.75
58.0,-0.8
59.0,0.15
61.0,-0.6
67.0,-0.75
23.0,-0.85
24.0,-1.0
27.0,-0.85
27.0,-0.65
29.0,-0.7
31.0,-0.9
34.0,-1.3
39.0,-0.9
40.0,-0.5
43.0,-1.0
46.0,-0.65
47.0,-1.55
48.0,-0.7
48.0,-0.8
48.0,-0.85
48.0,-0.75
50.0,-0.95
52.0,-0.1
53.0,-0.35
53.0,-1.3
54.0,-0.5
56.0,0.6
56.0,0.6
57.0,-0.85
57.0,-1.15
59.0,0.5
61.0,-0.3
63.0,-0.2
63.0,-1.0
64.0,-0.9
65.0,-1.4
66.0,-0.9
67.0,-1.15
68.0,-0.8
71.0,0.35
45.0,0.2
28.0,-1.0
59.0,-0.1
74.0,-1.1
74.0,0.3
55.0,0.1
56.0,0.05
66.0,0.2
50.0,0.05
67.0,-0.4
42.0,-0.45
61.0,-0.85
55.0,-0.8
66.0,-0.15
23.0,0.3
55.0,-0.75
60.0,-1.5
56.0,-1.2
46.0,-1.4
20.0,-0.75
26.0,-1.3
28.0,-0.05
53.0,-0.25
34.0,-0.55
23.0,-0.7
67.0,-0.85
68.0,0.4
55.0,-0.85
39.0,-0.1
53.0,-1.05
56.0,-0.8
67.0,-0.35
34.0,-1.15
39.0,-0.05
39.0,-0.05
47.0,0.0
48.0,-0.9
54.0,-0.95
56.0,-1.05
57.0,-0.65
60.0,-0.45
60.0,-0.55
63.0,-1.1
64.0,-1.3
70.0,-0.35
48.0,-0.6
22.0,0.5
28.0,0.05
36.0,-0.8
40.0,-1.5
48.0,-1.35
53.0,-1.05
56.0,-0.3
57.0,-0.5
72.0,-0.65
21.0,0.15
21.0,-1.05
22.0,-0.25
24.0,-1.0
25.0,-1.35
25.0,-0.75
26.0,-0.95
26.0,-0.35
27.0,-0.35
27.0,-1.4
31.0,1.05
32.0,-0.35
32.0,-1.35
35.0,-0.45
35.0,-0.75
36.0,-0.4
41.0,-0.15
42.0,-1.1
43.0,-1.0
44.0,0.3
45.0,-1.6
48.0,-0.8
48.0,-0.9
51.0,0.05
53.0,-1.1
54.0,-0.95
57.0,0.25
60.0,-0.05
61.0,-0.55
61.0,-0.95
61.0,-0.9
63.0,-1.2
64.0,-0.2
65.0,-1.2
66.0,-0.8
67.0,-1.45
68.0,-1.1
74.0,-0.65
72.0,0.05
27.0,-0.8
49.0,-1.8
51.0,-0.55
57.0,-0.8
62.0,0.05
18.0,-0.6
21.0,-0.1
21.0,-1.05
22.0,-1.3
22.0,-0.85
23.0,-0.3
23.0,-0.35
23.0,-0.95
25.0,-1.35
25.0,-0.9
26.0,0.2
28.0,-1.25
29.0,-0.5
29.0,-0.9
35.0,-1.2
36.0,-1.0
36.0,-1.1
38.0,-0.4
39.0,-1.0
39.0,0.35
43.0,-1.05
45.0,-0.8
46.0,-0.55
46.0,0.3
47.0,0.0
49.0,-0.45
50.0,-1.1
50.0,-0.05
50.0,-1.05
51.0,-0.85
51.0,-0.95
52.0,-0.95
52.0,0.0
53.0,-1.0
53.0,-0.8
54.0,-0.65
54.0,-1.1
55.0,-0.3
55.0,0.25
56.0,0.2
57.0,-0.95
57.0,0.55
57.0,-0.3
58.0,-0.75
59.0,-0.4
59.0,0.25
59.0,-0.75
59.0,-0.9
61.0,-0.35
61.0,-1.1
61.0,-0.8
63.0,-0.8
63.0,-0.55
63.0,-0.6
63.0,-1.6
64.0,-1.0
64.0,-0.85
66.0,-0.8
67.0,-0.45
69.0,-1.0
72.0,-0.7
45.0,-0.6
43.0,-0.7
33.0,-1.6
41.0,-0.5
53.0,-1.65
66.0,-1.1
67.0,-1.2
20.0,-0.2
20.0,-0.15
25.0,-1.2
30.0,-1.0
32.0,-1.4
42.0,-1.4
47.0,-1.4
51.0,-0.75
53.0,-1.1
57.0,-0.4
63.0,-0.7
70.0,-0.5
32.0,-0.3
57.0,-0.2
25.0,-0.95
71.0,-0.05
63.0,-0.95
55.0,-0.5
20.0,-1.25
21.0,-0.75
21.0,-0.2
22.0,-1.15
22.0,-0.05
24.0,-0.85
25.0,-0.05
27.0,-0.55
32.0,0.65
36.0,-1.1
36.0,-0.15
39.0,-0.3
42.0,-0.55
43.0,-1.15
43.0,-0.2
44.0,-0.55
47.0,-0.65
48.0,-0.15
48.0,0.2
50.0,-1.0
50.0,-0.55
53.0,-0.5
55.0,-0.25
56.0,-0.9
59.0,0.35
61.0,-1.15
62.0,-1.0
62.0,-1.25
62.0,0.15
63.0,0.4
64.0,-0.25
67.0,-0.3
70.0,-0.45
70.0,-1.0
72.0,-0.65
79.0,-0.8
18.0,0.2
20.0,-0.4
20.0,-0.15
21.0,-0.45
21.0,0.8
21.0,-1.4
21.0,-1.45
21.0,-0.75
22.0,-1.2
23.0,-1.45
25.0,-1.0
25.0,-1.35
28.0,-1.25
29.0,-1.0
29.0,0.3
29.0,0.3
31.0,-0.15
32.0,-1.2
33.0,-1.3
33.0,-0.35
35.0,-0.6
36.0,-0.9
36.0,-0.45
37.0,-1.15
39.0,-0.5
39.0,-1.2
40.0,-0.35
40.0,-1.3
40.0,-0.85
41.0,-1.4
44.0,0.5
44.0,0.1
45.0,-0.8
46.0,-0.9
47.0,-0.2
48.0,-1.5
48.0,-0.3
50.0,-0.65
50.0,-0.6
50.0,-0.5
50.0,0.35
52.0,-0.05
52.0,0.05
54.0,-0.65
56.0,-0.2
56.0,-1.25
56.0,-0.95
57.0,-0.6
58.0,-1.1
58.0,-0.25
58.0,0.1
58.0,0.2
58.0,0.3
59.0,-0.05
60.0,-1.3
60.0,0.4
61.0,-0.7
63.0,-1.0
63.0,0.4
64.0,-0.55
64.0,-1.4
64.0,0.15
65.0,-0.6
65.0,0.1
66.0,-0.35
66.0,-0.5
66.0,-1.2
66.0,-0.15
67.0,-1.05
67.0,-0.7
67.0,-0.25
67.0,0.0
68.0,-0.55
68.0,-1.0
69.0,0.05
70.0,-0.9
70.0,-0.05
70.0,0.1
71.0,-1.05
71.0,0.35
71.0,-1.2
71.0,0.4
72.0,-0.6
72.0,-0.55
74.0,-0.55
79.0,-0.45
46.0,-1.05
61.0,-0.05
73.0,-0.25
20.0,-1.15
25.0,-0.9
32.0,0.05
50.0,-0.7
55.0,-1.05
66.0,-0.75
65.0,0.0
31.0,-0.6
40.0,0.1
64.0,-0.75
46.0,-0.95
60.0,-0.3
84.0,-0.95
59.0,-0.75
20.0,-0.05
22.0,0.0
63.0,0.4
20.0,-1.0
56.0,-0.8
65.0,-0.15
62.0,-0.75
66.0,0.05
61.0,0.15
56.0,0.55
66.0,0.1
60.0,-0.1
31.0,-0.9
22.0,-0.3
37.0,-0.2
20.0,-0.45
50.0,-0.2
46.0,-0.25
30.0,-1.15
30.0,0.45
43.0,-0.6
51.0,0.1
19.0,0.55
59.0,0.1
20.0,-0.9
33.0,-0.95
20.0,0.1
58.0,-1.05
21.0,-1.25
34.0,-0.55
18.0,-1.35
18.0,0.2
22.0,-0.25
32.0,-1.2
42.0,-0.55
46.0,0.15
18.0,-1.25
20.0,-0.25
20.0,-1.1
25.0,-0.05
41.0,-0.15
46.0,-0.75
49.0,-0.75
52.0,0.45
58.0,0.15
61.0,-0.7
18.0,-0.7
18.0,0.4
19.0,-1.1
19.0,-1.5
19.0,-0.9
19.0,-0.65
19.0,-0.4
20.0,-0.35
20.0,0.0
20.0,-0.3
21.0,0.05
21.0,-0.25
29.0,-0.15
32.0,-1.2
32.0,-1.15
33.0,-0.35
37.0,-0.55
37.0,-0.35
45.0,-0.4
54.0,-0.95
57.0,-0.85
59.0,-0.6
60.0,0.65
64.0,0.15
27.0,-1.35
47.0,-0.3
36.0,-0.8
43.0,-0.95
46.0,-0.05
48.0,-1.2
51.0,-1.0
52.0,-0.65
61.0,0.1
18.0,-1.2
18.0,-1.3
18.0,-0.45
18.0,-1.15
18.0,-0.65
19.0,-0.5
19.0,0.65
19.0,-0.15
19.0,-1.3
20.0,-0.6
24.0,0.0
28.0,-0.35
33.0,-0.3
40.0,-0.9
41.0,-1.05
42.0,-0.8
46.0,-0.7
47.0,-0.25
47.0,0.1
49.0,-1.2
50.0,-0.95
51.0,0.0
54.0,-0.65
56.0,-1.1
57.0,-1.2
59.0,0.25
60.0,-1.15
60.0,-0.45
62.0,-0.3
63.0,-1.0
63.0,-0.65
65.0,-1.0
65.0,-0.45
66.0,0.35
73.0,-1.55
75.0,-0.45
19.0,-0.45
22.0,-1.25
49.0,-0.85
53.0,-1.4
60.0,0.2
60.0,-1.2
64.0,0.55
64.0,0.5
65.0,-0.8
65.0,-1.4
68.0,-1.0
63.0,0.75
68.0,-0.25
18.0,0.4
19.0,-0.7
25.0,0.5
18.0,-1.4
19.0,0.1
19.0,-0.3
19.0,-1.4
19.0,-0.85
23.0,-0.5
23.0,-0.25
25.0,0.1
31.0,-0.85
37.0,-0.2
37.0,0.1
45.0,-1.25
46.0,0.0
48.0,-0.55
50.0,-1.15
50.0,-0.7
51.0,-0.45
52.0,-1.4
52.0,0.3
53.0,0.0
54.0,-0.85
54.0,0.05
55.0,0.25
57.0,0.3
57.0,-0.7
70.0,0.2
75.0,-0.65
18.0,-1.4
18.0,-0.65
19.0,-0.6
19.0,-0.65
19.0,-0.65
20.0,-0.85
21.0,-1.35
21.0,-1.55
21.0,0.55
22.0,-1.05
23.0,-1.15
23.0,-0.55
25.0,-1.1
26.0,0.05
27.0,-0.65
29.0,-0.6
31.0,-1.2
32.0,-0.35
34.0,-0.8
34.0,0.5
35.0,-1.05
35.0,0.0
37.0,0.25
38.0,-0.35
41.0,0.0
41.0,-0.45
45.0,0.95
47.0,-0.05
49.0,-0.85
49.0,0.9
50.0,-0.25
51.0,0.65
53.0,0.6
57.0,-0.25
57.0,-0.9
58.0,-0.5
58.0,0.05
60.0,0.45
60.0,-0.65
60.0,-0.65
60.0,0.2
61.0,0.2
62.0,-0.35
62.0,-1.2
63.0,-0.2
64.0,-0.85
64.0,-0.95
65.0,0.45
65.0,-1.1
65.0,-1.15
65.0,-0.85
67.0,-0.15
68.0,-1.15
69.0,-0.55
72.0,0.0
72.0,-1.0
74.0,0.0
76.0,-0.55
80.0,0.05
55.0,-0.7
58.0,0.1
52.0,-1.25
52.0,-0.8
19.0,-1.05
26.0,-0.7
