x,value
Higher education (e.g. undergraduate degree),951
No Qualitfication,39
School leaver (e.g. GCSE/O-Level/CSE),611
Further education (e.g. A-Level),794
Other,16
Postgraduate qualification (e.g. masters degree),468
Professional qualification (e.g. PhD/professional doctorate),256
Prefer not to disclose,173
