x,Forecast Estimation Method,Natural Market Fluctuations
0,1200.0,1200.0
5,1250.218292081206,1251.5306987073375
10,1140.1967033698477,1113.1313700054948
15,1213.2868901173792,1142.2214642127235
20,1215.5129971366862,1156.9880645988376
25,1243.5548790069406,1179.2386920620897
30,1264.7149134223039,1194.4053193602495
35,1399.4928096190642,1302.9738671711498
40,1353.7847909948068,1238.3043120032787
45,1399.138314845447,1217.5422399333972
