x,value
QC Solar,100
Jinko Solar,100
Array Technologies,100
Daqo New Energy Corp,100
First Solar,100
FTC Solar,100
P2 Solar Inc,100
Sunrun,100
Shoals Technologies,100
TOYO Solar,100
Canadian Solar,100
Enphase Energy,100
