date,correlation
2021-06-03,0.8634729638946913
2021-06-04,0.8434530376871847
2021-06-07,0.8295399158439101
2021-06-08,0.8010019382613288
2021-06-09,0.7900483742211746
2021-06-10,0.7943992497623122
2021-06-11,0.7982963057563993
2021-06-14,0.8142171156647416
2021-06-15,0.8282217000895847
2021-06-16,0.8473045701040465
2021-06-17,0.8654758667467045
2021-06-18,0.8698544167933406
2021-06-21,0.875514247322509
2021-06-22,0.870320870435735
2021-06-23,0.8629942062384206
2021-06-24,0.853824864127781
2021-06-25,0.8432241801301729
2021-06-28,0.8373047297125022
2021-06-29,0.8253076640849877
2021-06-30,0.8164529413219855
2021-07-01,0.7932189541171801
2021-07-02,0.774316232108478
2021-07-06,0.752218660613237
2021-07-07,0.7190145926733182
2021-07-08,0.6957668824695961
2021-07-09,0.6874747789375073
2021-07-12,0.6624505670094016
2021-07-13,0.6359689175641566
2021-07-14,0.6229124458282915
2021-07-15,0.6213907752834992
2021-07-16,0.6254982419511276
2021-07-19,0.6164811995078903
2021-07-20,0.6179771398056336
2021-07-21,0.6073628336514529
2021-07-22,0.5987779290416587
2021-07-23,0.6002490566608878
2021-07-26,0.6067471777416026
2021-07-27,0.6174976412488504
2021-07-28,0.6292433284373136
2021-07-29,0.6435070197925012
2021-07-30,0.6585927939654227
2021-08-02,0.6763308812810364
2021-08-03,0.6836912469404667
2021-08-04,0.6781717514111264
2021-08-05,0.6620946467277415
2021-08-06,0.6429187859931584
2021-08-09,0.6134502281408838
2021-08-10,0.58146295333118
2021-08-11,0.5228232454063589
2021-08-12,0.4412896071601034
2021-08-13,0.3680383979314465
2021-08-16,0.29517301256620354
2021-08-17,0.2545336982150365
2021-08-18,0.23817035090402777
2021-08-19,0.25220433422145677
2021-08-20,0.2664976206825565
2021-08-23,0.2838238125226113
2021-08-24,0.28497427259205477
2021-08-25,0.3018631831664919
2021-08-26,0.31467519439379893
2021-08-27,0.35561479219737124
2021-08-30,0.41433928492306005
2021-08-31,0.47746280042252853
2021-09-01,0.536894615016904
2021-09-02,0.6045584068333733
2021-09-03,0.6655992777910541
2021-09-07,0.7368173206697491
2021-09-08,0.7854459060574595
2021-09-09,0.8246536898658839
2021-09-10,0.8288087690995818
2021-09-13,0.8335805308178899
2021-09-14,0.8375197711947852
2021-09-15,0.8425263841732823
2021-09-16,0.8460246473547386
2021-09-17,0.8494294732577947
2021-09-20,0.8480514001774007
2021-09-21,0.8433591438152576
2021-09-22,0.8416531427305765
2021-09-23,0.8507798483775628
2021-09-24,0.8523064076872133
2021-09-27,0.8447343788333718
2021-09-28,0.841854668328059
2021-09-29,0.8421281827994754
2021-09-30,0.8409308441707807
2021-10-01,0.8392044288995607
2021-10-04,0.8415110020898485
2021-10-05,0.8457683561948014
2021-10-06,0.8506830700913739
2021-10-07,0.8539948237963348
2021-10-08,0.8489490169568962
2021-10-11,0.8354050232306486
2021-10-12,0.8287472038320021
2021-10-13,0.829231762518364
2021-10-14,0.8325914493035833
2021-10-15,0.841079116026209
2021-10-18,0.8577583838158462
2021-10-19,0.8712041515377522
2021-10-20,0.8714126390758443
2021-10-21,0.8676956796446159
2021-10-22,0.8624257002214023
2021-10-25,0.8526135667687081
2021-10-26,0.8504074867414747
2021-10-27,0.8482304214917324
2021-10-28,0.8449626238682173
2021-10-29,0.8497646645403159
2021-11-01,0.8502790936529154
2021-11-02,0.8530295487694233
2021-11-03,0.8560931926982026
2021-11-04,0.8552704863130345
2021-11-05,0.8525875255332838
2021-11-08,0.8467653739646916
2021-11-09,0.8406153353951901
2021-11-10,0.8353862829329578
2021-11-11,0.8384428725288561
2021-11-12,0.8426212063090746
2021-11-15,0.8475648731732363
2021-11-16,0.8512129984552975
2021-11-17,0.8604697887505426
2021-11-18,0.8789102735874496
2021-11-19,0.9013267854014109
2021-11-22,0.9195599585033346
2021-11-23,0.9262547342792214
2021-11-24,0.9342369159629694
2021-11-26,0.9392964013785577
2021-11-29,0.9406566103350011
2021-11-30,0.9404005068709369
2021-12-01,0.9394922741080678
2021-12-02,0.9417097967454932
2021-12-03,0.944142694993086
2021-12-06,0.9476812370273195
2021-12-07,0.9519597830300273
2021-12-08,0.9533785232228833
2021-12-09,0.9531800812209803
2021-12-10,0.9542029599884854
2021-12-13,0.9543882552753078
2021-12-14,0.9536456110155473
2021-12-15,0.954303315848496
2021-12-16,0.9529043815125077
2021-12-17,0.9556587195991435
2021-12-20,0.9620541361659398
2021-12-21,0.964650296420372
2021-12-22,0.9647564726917343
2021-12-23,0.9656122354272398
2021-12-27,0.9675165063186676
2021-12-28,0.9698288972572077
2021-12-29,0.9709886448415648
2021-12-30,0.9718927031958162
2021-12-31,0.9738348166976766
2022-01-03,0.9756040455547976
2022-01-04,0.9770929855618399
2022-01-05,0.9785166526228911
2022-01-06,0.9797434208867218
2022-01-07,0.9808728568247774
2022-01-10,0.9820066484482549
2022-01-11,0.9825681336132781
2022-01-12,0.9832298282403469
2022-01-13,0.9830428361523555
2022-01-14,0.9826860579419296
2022-01-18,0.9816773588724819
2022-01-19,0.9807550395169118
2022-01-20,0.9797070369192866
2022-01-21,0.9784464443903916
2022-01-24,0.9763467746557876
2022-01-25,0.9742542304906876
2022-01-26,0.9714744634840418
2022-01-27,0.9695443069328543
2022-01-28,0.9673135442737028
2022-01-31,0.9621245963543203
2022-02-01,0.9587850737784893
2022-02-02,0.9474105373318114
2022-02-03,0.9343281789767013
2022-02-04,0.9169101312135002
2022-02-07,0.9071429966717708
2022-02-08,0.8931342887214613
2022-02-09,0.8788738504295395
