sentiment_prediction,actual_r_val
-0.241171,-0.9636109267544821
-0.156892,-0.9666520382950498
0.207702,-0.9666520382950498
0.427439,-0.9666520382950498
-0.29025,-0.9666520382950498
0.121778,-0.9325123186174494
-0.381556,-0.9373203414784123
0.828603,-0.9373203414784123
-0.240843,-0.9403518370956714
0.151305,-0.3031027921398224
0.43476,-0.7595313186820599
0.024119,-0.8079889267409319
0.406609,-0.8079889267409319
-0.618929,-0.7182497517821
0.128408,0.34857699544821225
0.739255,0.5294086514869346
0.23996,0.7063499786539701
0.481243,0.7063499786539701
0.425113,0.7063499786539701
0.429837,0.7063499786539701
0.416524,0.7063499786539701
0.19189,0.7063499786539701
0.022283,0.7063499786539701
0.000345,0.4277610468766064
0.001071,-0.33598756441926125
0.115337,-0.33598756441926125
0.018766,-0.33598756441926125
0.102574,-0.9290822955391708
0.088455,-0.8754785820777842
0.485618,0.1483060942353776
0.408499,0.1483060942353776
-0.06171,0.1483060942353776
0.531506,0.0992766608269489
0.318765,0.0992766608269489
0.436817,0.0992766608269489
0.510598,-0.6694494232599251
0.367825,-0.6694494232599251
0.416017,-0.28888770808110154
-0.264817,0.1879999620820869
-0.445091,0.1879999620820869
-0.073446,0.30262099460820807
-0.189264,0.30262099460820807
0.025419,0.30262099460820807
0.052165,0.30262099460820807
0.025773,0.30262099460820807
0.135013,0.30262099460820807
-0.138778,0.30262099460820807
0.329596,0.30262099460820807
0.240821,0.8848831191872786
0.2908,0.7007324680357794
0.003552,0.7007324680357794
0.405539,0.7007324680357794
0.037684,0.7007324680357794
0.347494,0.0935384608774145
0.298146,0.0935384608774145
0.300926,0.0935384608774145
0.475104,0.0935384608774145
0.316454,0.0935384608774145
0.062537,0.8150377909475591
0.46659,0.29785045444525027
0.431299,-0.12208952528891263
-0.137619,-0.12208952528891263
0.43335,0.8255470123142621
0.106194,-0.7209850094453781
0.621994,-0.9225790033464957
0.179417,0.19264172666962087
0.336606,0.8733330928632845
0.438814,0.8733330928632845
0.384929,0.8770661824791477
0.541385,-0.16160136172606873
0.067525,-0.8918186520307324
0.137254,-0.8918186520307324
0.427013,-0.8652432118592442
0.401927,-0.8650267494607815
0.273201,-0.0615207454707863
0.898508,0.8962117407603274
0.429079,0.1591002967182534
-0.206118,0.6846488366715539
0.384955,-0.8886227755435168
-0.396484,-0.9035070960818772
0.141508,0.8916035472977553
0.410357,0.6577014555442229
0.013671,-0.9325399920741874
-0.838374,0.5083817766379853
0.01865,0.0500009213562815
0.099984,-0.5312552556057775
0.522497,0.922856915446892
