x,value,fill
2010,28,#990e76
2011,106,#990e76
2012,221,#990e76
2013,313,#990e76
2014,512,#990e76
2015,617,#990e76
2016,32,#990e76
2017,17,#990e76
2018,39,#990e76
2019,118,#990e76
2020,169,#990e76
2021,483,#990e76
2022,967,#990e76
2023,1259,#990e76
2024,1011,#990e76
2025,1073,#990e76
2026,1,#990e76
