DATE,pbratio
2021-06-30,0.5833537564999004
2021-09-30,0.45109383619000976
2021-12-31,0.5081149628323044
2022-03-31,0.40702526854070964
2022-06-30,0.36316905449054493
2022-09-30,0.3709238563438328
2022-12-31,0.41891549857035365
2023-03-31,0.3521053325713281
2023-06-30,0.45695536942338216
2023-09-30,0.20700392796392797
2023-12-31,0.13874346097229112
2024-03-31,0.12270549298379203
2024-06-30,0.10067236689948238
2024-09-30,0.2851059766311497
2024-12-31,3.701231640050431
2025-03-31,2.6964418882019583
2025-06-30,6.562450481088256
2025-09-30,100.0
2025-12-31,100.0
