date,x,value
2016-11-09,0.029476616396889185,-0.15051539188344043
2018-02-14,0.12823676772727274,1.9544929010514154
2018-08-02,0.07897661183730208,-1.1904393099993444
2018-11-01,0.040808257073507416,-0.4069870935828313
2020-01-21,0.018502463630095386,-1.8087646419708456
2020-08-03,-0.2619276284853731,0.5630025997098269
2021-02-16,0.057504902023053396,-1.1503301405754882
2022-02-15,0.04732508464141767,-0.014337800996879296
2022-05-02,0.1713633021738176,0.05943627153897527
2022-11-07,0.13950249900475387,-1.3889010785684754
2023-05-03,0.05799866608921954,0.06133201318102699
2023-08-01,0.048998509171014386,-8.005610825144347
2024-02-20,-0.8307108447341098,-3.823250990074283
2024-05-08,-0.4358074393113721,-0.9133117742067228
2024-08-07,0.2611829259767898,0.6094420485045793
2024-11-06,-0.017108209667799728,-0.5521401352213372
2025-05-06,0.2510665171247964,0.8296244852094019
2025-08-07,0.2766488766710605,1.5267006738433937
